CompanyTicker,Date,Group,,
FSLR US,8/3/2016,1,,
AMZN US,7/28/2016,1,,
NEM US,7/20/2016,1,,
NRG US,8/9/2016,1,,
CVX US,7/29/2016,1,,
CHTR US,8/9/2016,1,,
FTR US,8/1/2016,1,,
PXD US,7/27/2016,1,,
GRMN US,7/27/2016,1,,
ATVI US,8/4/2016,1,,
ETFC US,7/21/2016,1,,
HAL US,7/20/2016,1,,
MS US,7/20/2016,1,,
MSI US,8/4/2016,1,,
AEE US,8/5/2016,1,,
RTN US,7/28/2016,1,,
ZION US,7/26/2016,1,,
DNB US,8/1/2016,1,,
LMT US,7/19/2016,1,,
URI US,7/20/2016,1,,
SWN US,7/21/2016,1,,
MJN US,7/28/2016,1,,
CMA US,7/19/2016,1,,
CMI US,8/2/2016,1,,
INTC US,7/20/2016,1,,
SLB US,7/21/2016,1,,
WU US,8/3/2016,1,,
ALLE US,7/28/2016,1,,
WAT US,7/26/2016,1,,
PFG US,7/28/2016,1,,
ALB US,8/3/2016,1,,
SWK US,7/22/2016,1,,
AIG US,8/2/2016,1,,
MRO US,8/3/2016,1,,
DPS US,7/27/2016,1,,
EFX US,7/27/2016,1,,
AIZ US,7/26/2016,1,,
GOOGL US,7/28/2016,1,,
NUE US,7/21/2016,1,,
MCD US,7/26/2016,1,,
LH US,7/27/2016,2,,
FISV US,8/2/2016,2,,
PYPL US,7/21/2016,2,,
HBAN US,7/21/2016,2,,
VTR US,7/29/2016,2,VTR US,#VALUE!
T US,7/21/2016,2,,
AVB US,7/25/2016,2,,
SPG US,7/27/2016,2,,
TSO US,8/3/2016,2,,
WFC US,7/15/2016,2,,
D US,8/3/2016,2,,
SCG US,7/28/2016,2,,
PSA US,7/27/2016,2,,
LLY US,7/26/2016,2,,
AON US,7/29/2016,2,,
K US,8/4/2016,2,,
ECL US,8/2/2016,2,,
STJ US,7/20/2016,2,,
UPS US,7/29/2016,2,,
UHS US,7/26/2016,2,,
ETN US,8/2/2016,2,,
NTRS US,7/20/2016,2,,
BLK US,7/14/2016,2,,
OXY US,8/3/2016,2,,
PBI US,8/2/2016,2,,
RSG US,7/28/2016,2,,
SRCL US,7/28/2016,2,,
HOG US,7/28/2016,2,,
AME US,8/4/2016,2,,
EQR US,7/26/2016,2,,
LNC US,8/3/2016,2,,
ESRX US,7/25/2016,2,,
PPG US,7/21/2016,2,,
JPM US,7/14/2016,2,,
IPG US,7/21/2016,2,,
DFS US,7/19/2016,2,,
CHRW US,7/26/2016,2,,
HST US,7/29/2016,2,,
KIM US,7/27/2016,2,,
NLSN US,7/26/2016,2,,
MLM US,8/2/2016,3,,
FAST US,7/12/2016,3,,
PNW US,8/2/2016,3,,
JBHT US,7/18/2016,3,,
LVLT US,7/27/2016,3,,
COF US,7/21/2016,3,,
FLS US,7/28/2016,3,,
YHOO US,7/18/2016,3,,
OKE US,8/2/2016,3,,
ADM US,8/2/2016,3,,
GWW US,7/19/2016,3,,
TRIP US,8/3/2016,3,,
AAP US,8/16/2016,3,,
SE US,8/3/2016,3,,
IRM US,8/4/2016,3,,
AMT US,7/28/2016,3,,
VMC US,8/1/2016,3,,
PGR US,7/14/2016,3,,
DOV US,7/21/2016,3,,
EIX US,7/28/2016,3,,
F US,7/28/2016,3,,
ED US,8/4/2016,3,,
CNP US,8/5/2016,3,,
CI US,7/29/2016,3,,
SRE US,8/4/2016,3,,
FLR US,8/4/2016,3,,
WY US,8/5/2016,3,,
FTI US,7/20/2016,3,,
PRU US,8/3/2016,3,,
PCG US,7/28/2016,3,,
COP US,7/28/2016,3,,
CHK US,8/4/2016,3,,
XOM US,7/29/2016,3,,
MET US,8/3/2016,3,,
MOS US,8/2/2016,3,,
BHI US,7/28/2016,3,,
CF US,8/3/2016,3,,
PWR US,8/4/2016,3,,
HIG US,7/28/2016,3,,
UA US,7/26/2016,3,,